ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ±â¾Ð(hPa),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ ±â¿Â(¡ÆC)
22105,2013-02-15,8.2,1019.6,66,4.1
22105,2013-02-16,6.2,1026.2,64,1
22105,2013-02-17,7.9,1019.7,58,6.4
22105,2013-02-18,8.1,1016.7,67,4.6
22105,2013-02-19,5,1021.3,62,1.2
22105,2013-02-20,8.4,1024.5,45,1.3
22105,2013-02-21,7,1026.4,48,1.8
22105,2013-02-22,9.2,1022.4,50,4.5
22105,2013-02-23,8,1023.6,41,3.6
22105,2013-02-24,5.1,1027.6,58,2.8
22105,2013-02-25,5.4,1028.7,78,4.4
22105,2013-02-26,8.2,1019.3,66,8.7
22105,2013-02-27,5.1,1015.7,61,8.6
22105,2013-02-28,7,1014.8,58,10.5
22105,2013-03-01,10.9,1009.2,60,8.4
22105,2013-03-02,8.6,1023.5,55,3.1
22105,2013-03-03,3.6,1020.1,53,4.8
22105,2013-03-04,5,1018.5,52,5.9
22105,2013-03-05,5,1020,50,9
22105,2013-03-06,5.1,1018.6,60,10.8
22105,2013-03-07,6.8,1009.2,69,11.8
22105,2013-03-08,6.2,1005.7,63,12.3
22105,2013-03-09,5.7,1005.4,86,10.4
22105,2013-03-10,5.8,,67,5
22105,2013-03-11,5.5,1023.6,59,6.8
22105,2013-03-12,7.6,1014.1,69,10.8
22105,2013-03-13,9.6,1014.2,74,5.2
22105,2013-03-14,6.1,1026.8,59,4.6
22105,2013-03-15,5.6,1020.9,56,10.1
22105,2013-03-16,5.8,1021.6,58,9.9
22105,2013-03-17,8.8,1012.6,75,11.9
22105,2013-03-18,5.4,1001.2,82,10.9
22105,2013-03-19,5.5,1011.5,80,9.8
22105,2013-03-20,9.3,1010.6,85,4.1
22105,2013-03-21,6.4,1014.8,55,5.4
22105,2013-03-22,5.2,1009.3,51,9.7
22105,2013-03-23,7.6,1014.8,70,7.2
22105,2013-03-24,9,1011.2,71,7.6
22105,2013-03-25,5.9,1016.3,66,4.6
22105,2013-03-26,5.6,1019.7,56,8.3
22105,2013-03-27,8,1013,62,12.1
22105,2013-03-28,5.9,1013.4,61,12.1
22105,2013-03-29,7.1,1018.7,62,8
22105,2013-03-30,4.8,1021.6,67,8.1
22105,2013-03-31,6.7,1022.4,69,7.3
22105,2013-04-01,8.6,1020.5,68,11.2
22105,2013-04-02,6.9,1011.3,80,10.4
22105,2013-04-03,6.6,,71,11.4
22105,2013-04-04,6.1,1018.2,67,10.6
22105,2013-04-05,3.9,1015.6,81,11.5
22105,2013-04-06,8,999.1,90,10.7
22105,2013-04-07,10.7,1001.6,69,7.2
22105,2013-04-08,5,1009.9,55,11.3
22105,2013-04-09,9.7,1009.6,47,10.3
22105,2013-04-10,6.4,1014.5,49,7.4
22105,2013-04-11,8.3,1013.2,51,8.3
22105,2013-04-12,7.2,,47,8.9
22105,2013-04-13,9.3,1009.4,55,13.1
22105,2013-04-14,7.5,1003.6,65,12.8
22105,2013-04-15,6.8,1009,49,11
22105,2013-04-16,9.3,1004.5,78,12
22105,2013-04-17,6.5,1012.8,73,8.4
22105,2013-04-18,7,1011.3,75,9.8
22105,2013-04-19,5.6,1019.1,48,8.1
22105,2013-04-20,5,1017.5,69,7.3
22105,2013-04-21,4.9,1017.2,61,9.7
22105,2013-04-22,6.5,1019.9,60,12.8
22105,2013-04-23,8.5,1015.8,77,13.3
22105,2013-04-24,5.6,1006.1,81,13.5
22105,2013-04-25,5.3,1006.1,66,13.6
22105,2013-04-26,7.4,1007.4,60,12.4
22105,2013-04-27,4.5,1015.5,61,13.4
22105,2013-04-28,7.4,1017.9,79,14.1
22105,2013-04-29,8.9,1008.9,73,16
22105,2013-04-30,7.3,1008.9,65,13.4
22105,2013-05-01,4.7,1012.1,69,10.1
22105,2013-05-02,3.2,1013.8,72,10.5
22105,2013-05-03,4.5,1015.1,75,12.5
22105,2013-05-04,4.3,1016.6,64,14.7
22105,2013-05-05,4.2,1015.4,75,16.1
22105,2013-05-06,5.5,1015.7,71,15.4
22105,2013-05-07,4.3,1023.3,78,11.8
22105,2013-05-08,9.3,1017.5,80,14.2
22105,2013-05-09,3,1011.2,83,16.5
22105,2013-05-10,8.2,1001.1,88,15.4
22105,2013-05-11,5.4,1002.1,73,15.9
22105,2013-05-12,5.8,1002.8,75,16.7
22105,2013-05-13,3.7,1010.5,89,13.9
22105,2013-05-14,3.1,1012.2,92,14
22105,2013-05-15,4.5,1013.8,88,14.2
22105,2013-05-16,6.4,1021.9,85,12.2
22105,2013-05-17,5.2,1019.7,78,13.7
22105,2013-05-18,5.5,1009.6,89,14.9
22105,2013-05-19,6.6,1000.4,94,14.4
22105,2013-05-20,3.8,1000.7,86,15.7
22105,2013-05-21,5.8,1005.8,74,16.2
22105,2013-05-22,3.6,1010.8,74,17.4
22105,2013-05-23,3.3,1014,92,16.3
22105,2013-05-24,5.9,1012.1,94,16.7
22105,2013-05-25,5.8,1016.3,92,15
22105,2013-05-26,3.4,1017.2,94,15.4
22105,2013-05-27,6.5,1014.4,91,17
22105,2013-05-28,7.9,1007.8,97,16.3
22105,2013-05-29,3.6,1004.6,89,16.5
22105,2013-05-30,4.9,1009,73,17.7
22105,2013-05-31,4,1008.9,75,17.9
22105,2013-06-01,3.9,1006.9,92,17.1
22105,2013-06-02,3.8,1009.2,89,16.5
22105,2013-06-03,2.1,,84,16.8
22105,2013-06-04,4.2,1016.2,93,17.9
22105,2013-06-05,4.3,1017.7,94,17.7
22105,2013-06-06,3.7,1016.9,91,17.7
22105,2013-06-07,2,1014.7,83,17.7
22105,2013-06-08,2.7,1012.2,86,18.2
22105,2013-06-09,2.7,1010.7,87,18.5
22105,2013-06-10,3.1,1010.4,83,18.5
22105,2013-06-11,3.4,1009.8,91,19
22105,2013-06-12,2.5,1009.1,95,19.7
22105,2013-06-13,2.5,1013.4,94,19.5
22105,2013-06-14,1.7,1014.4,93,19.8
22105,2013-06-15,3.9,1011.2,95,20.1
22105,2013-06-16,4.4,1005.9,98,20
22105,2013-06-17,2.7,1000.3,87,21.2
22105,2013-06-18,2.9,997.3,98,20.5
22105,2013-06-19,2.2,1000.7,95,20.8
22105,2013-06-20,3.6,1005.5,95,21.1
22105,2013-06-21,3,1007.1,95,21
22105,2013-06-22,2.9,1007.9,86,20.9
22105,2013-06-23,3.6,1005.9,92,20.9
22105,2013-06-24,2.9,1006.1,92,21.1
22105,2013-06-25,4,1007.6,92,21.5
22105,2013-06-26,3.7,1003.5,88,21.7
22105,2013-06-27,2.8,1006.2,83,21.8
22105,2013-06-28,3.9,,83,21.7
22105,2013-06-29,3.1,1012.3,88,21.9
22105,2013-06-30,5,1011.7,91,22.3
22105,2013-07-01,8.2,1008.4,93,22.4
22105,2013-07-02,11.8,1000.7,94,21.4
22105,2013-07-03,6.2,996.8,91,19.3
22105,2013-07-04,5.1,996.7,91,19.1
22105,2013-07-05,5.3,996.6,99,18.2
22105,2013-07-06,2.6,,94,18.8
22105,2013-07-07,4.7,1007.4,96,18
22105,2013-07-08,8,1007.5,94,17.8
22105,2013-07-09,6.9,1005.1,91,17.7
22105,2013-07-10,3.1,1005.4,96,19
22105,2013-07-11,1.5,1006.7,97,18.4
22105,2013-07-12,2.7,1006.9,95,19.7
22105,2013-07-13,2.7,1010.7,98,19.7
22105,2013-07-14,3.3,1010.6,95,20.6
22105,2013-07-15,5.2,1011.6,95,21
22105,2013-07-16,7.8,1008.2,90,21.9
22105,2013-07-17,6.8,1006.7,89,22
22105,2013-07-18,2.3,1010.7,94,21
22105,2013-07-19,4.5,1010.9,97,21.3
22105,2013-07-20,6,1007.9,94,22.7
22105,2013-07-21,6.6,1005.4,88,23.9
22105,2013-07-22,3.6,,92,23.9
22105,2013-07-23,5.6,1003.9,90,23.8
22105,2013-07-24,7.8,997.6,85,24.4
22105,2013-07-25,3.7,998.9,83,25.1
22105,2013-07-26,2.5,1001.2,79,26
22105,2013-07-27,2,1004.5,86,25.4
22105,2013-07-28,4.1,1003.3,89,25.4
22105,2013-07-29,4.8,1000,91,25.4
22105,2013-07-30,2.9,1002.5,89,24.6
22105,2013-07-31,5.4,1001,93,24.7
22105,2013-08-01,2.4,1007.5,92,24.7
22105,2013-08-02,4.1,1012.2,89,24
22105,2013-08-03,6.1,1009.1,91,25
22105,2013-08-04,3.3,1003.4,89,26.1
22105,2013-08-05,2.7,1002.2,87,26.6
22105,2013-08-06,3.5,1004.6,87,27
22105,2013-08-07,3.2,1005.9,87,27.6
22105,2013-08-08,3.7,1002.9,88,28.2
22105,2013-08-09,5.1,1002.6,86,28.6
22105,2013-08-10,3.9,1006.3,85,28.7
22105,2013-08-11,2.2,1009.8,74,28.8
22105,2013-08-12,3.4,,84,28.2
22105,2013-08-13,2.6,1008.9,81,28.8
22105,2013-08-14,3.3,1008.8,79,28.2
22105,2013-08-15,3.6,1007.6,75,28.8
22105,2013-08-16,5,1005.2,78,28.4
22105,2013-08-17,6.7,1003.1,80,27.5
22105,2013-08-18,6.1,1003.8,80,27.4
22105,2013-08-19,3.1,1005.6,84,27.1
22105,2013-08-20,4.1,1007.7,82,26.8
22105,2013-08-21,3.8,1010.3,87,25.2
22105,2013-08-22,4.6,1008.8,94,25.1
22105,2013-08-23,4.9,1006.8,93,24.6
22105,2013-08-24,3,1006,75,26.5
22105,2013-08-25,2.8,1006.2,75,25.6
22105,2013-08-26,2.5,1004.9,77,25
22105,2013-08-27,2.9,1006.7,80,25.6
22105,2013-08-28,6.4,,82,25.4
22105,2013-08-29,7.2,999.2,87,25
22105,2013-08-30,3.7,1001.4,93,24.6
22105,2013-08-31,8,1006.7,79,22.2
22105,2013-09-01,2.7,1012.9,70,22.7
22105,2013-09-02,1.8,,70,23.4
22105,2013-09-03,4.1,,76,22.8
22105,2013-09-04,8.7,1012.5,72,21.8
22105,2013-09-05,4.8,1018.2,68,21.3
22105,2013-09-06,2.7,1019.7,69,21.4
22105,2013-09-07,1.4,1017.6,68,22
22105,2013-09-08,2.7,,75,22.3
22105,2013-09-09,1.9,,76,22.3
22105,2013-09-10,4,1014.3,80,23.2
22105,2013-09-11,4.1,1013.9,84,23.1
22105,2013-09-12,3,1016.3,88,22.8
22105,2013-09-13,6,1011.2,89,24.2
22105,2013-09-14,4.6,1009.3,87,23.1
22105,2013-09-15,5.9,1007.9,81,23
22105,2013-09-16,5.6,1011.6,62,22.1
22105,2013-09-17,4.3,,80,22.8
22105,2013-09-18,2.6,1020.9,83,23.1
22105,2013-09-19,4.4,1019.9,84,22.5
22105,2013-09-20,3.9,1014.6,82,23.6
22105,2013-09-21,3.8,,80,23.7
22105,2013-09-22,7.7,1019.8,68,22.9
22105,2013-09-23,4.3,1017.3,67,22.8
22105,2013-09-24,4.9,1010.4,81,23.4
22105,2013-09-25,7.8,,71,19.9
22105,2013-09-26,4,,54,19.2
22105,2013-09-27,6.9,1018.1,63,20.8
22105,2013-09-28,5.5,1016.6,63,22.1
22105,2013-09-29,5,1016.7,84,20.5
22105,2013-09-30,7,1016.8,88,21.6
22105,2013-10-01,5.6,1016.9,79,21
22105,2013-10-02,6.2,1010,72,22.2
22105,2013-10-03,4.7,1016,52,19.7
22105,2013-10-04,3,1020.7,58,20.9
22105,2013-10-05,3.7,1023.1,63,21.8
22105,2013-10-06,7,1025.3,80,22.4
22105,2013-10-07,3.6,1020.6,83,22.7
22105,2013-10-08,7.9,1014.8,89,21.7
22105,2013-10-09,7.4,1014.3,79,20.6
22105,2013-10-10,7.4,1013.9,83,22.6
22105,2013-10-11,9.4,1007.4,58,22.7
22105,2013-10-12,9.2,1016.8,46,19.5
22105,2013-10-13,5.1,1021.6,60,20.3
22105,2013-10-14,7.7,,72,21.9
22105,2013-10-15,12.8,1016.9,78,16.4
22105,2013-10-16,9.9,1020.1,58,13.5
22105,2013-10-17,3.8,1028.6,54,15.7
22105,2013-10-18,5.6,1029.5,54,17.5
22105,2013-10-19,4.4,1026.2,61,18.3
22105,2013-10-20,8.8,1019,86,17.6
22105,2013-10-21,9.4,1020,72,17
22105,2013-10-22,8.6,1024.3,66,17.2
22105,2013-10-23,6.3,1021.8,69,17.7
22105,2013-10-24,6.1,1015.3,66,17.9
22105,2013-10-25,8.6,1014.3,60,14.9
22105,2013-10-26,6.2,1014.9,60,14.7
22105,2013-10-27,2.1,1020,46,16.7
22105,2013-10-28,1.3,1023.1,47,17.3
22105,2013-10-29,3.3,1020.8,47,18.3
22105,2013-10-30,7.3,1022.9,63,16.1
22105,2013-10-31,3.8,1025.6,66,16.7
22105,2013-11-01,6.2,1026.1,64,17.5
22105,2013-11-02,7.3,1021.3,68,18.7
22105,2013-11-03,3.4,1018.7,60,17.6
22105,2013-11-04,7.6,1022.5,61,16
22105,2013-11-05,5.5,1025.1,52,16.4
22105,2013-11-06,6.6,1018.7,56,17.6
22105,2013-11-07,7.5,1014.1,46,17.3
22105,2013-11-08,7.9,1025.9,59,14.1
22105,2013-11-09,8.5,1022.6,,16.6
22105,2013-11-10,8.3,1012.5,62,13.1
22105,2013-11-11,9.3,1018.2,58,8.5
22105,2013-11-12,7.7,1018.1,52,9.3
22105,2013-11-13,5.5,,62,10.5
22105,2013-11-14,6.8,1018.6,47,13.6
22105,2013-11-15,4.6,1018.7,56,13.5
22105,2013-11-16,3.6,1016.4,56,13.6
22105,2013-11-17,10.2,1008.5,49,11.8
22105,2013-11-18,12.3,1008.6,49,6.7
22105,2013-11-19,9.3,1010.7,56,6
22105,2013-11-20,7.5,1015.8,54,7.2
22105,2013-11-21,3,1020.3,52,8.4
22105,2013-11-22,4.7,1021.6,50,10.3
22105,2013-11-23,3.2,1021.1,44,12.4
22105,2013-11-24,6,1016.2,57,13.8
22105,2013-11-25,14.3,999.3,61,12.3
22105,2013-11-26,10,1013.9,47,7.1
22105,2013-11-27,8.9,1012,57,6.9
22105,2013-11-28,9.5,1015.8,57,2.5
22105,2013-11-29,8,1015.8,52,4.6
22105,2013-11-30,5.2,,49,9.8
22105,2013-12-01,4.8,1018.3,49,10.9
22105,2013-12-02,5.1,1018.2,49,10
22105,2013-12-03,3.5,,50,10.5
22105,2013-12-04,5.2,1018,53,11.2
22105,2013-12-05,5.8,1015.8,49,12
22105,2013-12-06,8,,56,8.5
22105,2013-12-07,6.4,1020.8,54,8.7
22105,2013-12-08,2.1,1022.8,54,10.4
22105,2013-12-09,9.1,1008.6,68,11.7
22105,2013-12-10,8.4,1009.8,69,6.8
22105,2013-12-11,10.5,1008.3,52,5.5
22105,2013-12-12,10.3,1014.2,59,4.2
22105,2013-12-13,12.2,1017.2,55,1
22105,2013-12-14,10,1021.4,52,3.1
22105,2013-12-15,7.7,1027.5,57,3.8
22105,2013-12-16,2.3,1028.3,52,6.8
22105,2013-12-17,7.8,1026.8,70,6.8
22105,2013-12-18,8.8,,66,6.7
22105,2013-12-19,9.2,1015.7,67,4
22105,2013-12-20,13,1014.4,74,4.3
22105,2013-12-21,9.5,1022.2,65,5.2
22105,2013-12-22,4.8,1027,76,4.5
22105,2013-12-23,5.1,1024.5,72,5.7
22105,2013-12-24,7.5,1028.1,66,5.8
22105,2013-12-25,5.1,1026.5,51,8.3
22105,2013-12-26,7.5,1016.5,57,6.5
22105,2013-12-27,11.1,1014.5,78,2
22105,2013-12-28,8.7,1017,57,.8
22105,2013-12-29,8.9,1016.7,49,2.8
22105,2013-12-30,8.6,1013.9,49,6.7
22105,2013-12-31,8,1010.2,45,8
22105,2014-01-01,10.4,,43,8.3
22105,2014-01-02,4.8,1018,43,7.2
22105,2014-01-03,6,1015,41,9.7
22105,2014-01-04,9.3,1018.2,70,4.3
22105,2014-01-05,6.2,1021.6,78,4.1
22105,2014-01-06,5.3,1026.6,72,5.4
22105,2014-01-07,3.8,1023.1,48,7.5
22105,2014-01-08,5.8,1017.2,62,7.5
22105,2014-01-09,10,1022.8,73,-.5
22105,2014-01-10,7.6,1027.8,49,.8
22105,2014-01-11,6.4,1028.3,45,3.2
22105,2014-01-12,8.4,1024.5,55,3.9
22105,2014-01-13,6.2,1028.5,60,.9
22105,2014-01-14,5,1030.3,52,2.2
22105,2014-01-15,7.1,1029.1,54,3.4
22105,2014-01-16,4.7,1027.2,52,4.6
22105,2014-01-17,6.3,1024.5,61,4.6
22105,2014-01-18,10.4,1022.4,60,3.2
22105,2014-01-19,5.8,1027,60,3.2
22105,2014-01-20,5,1017,53,5.1
22105,2014-01-21,10.1,1020.2,75,1.6
22105,2014-01-22,4.9,1024.8,56,2.6
22105,2014-01-23,4.4,,54,5.8
22105,2014-01-24,4.3,,51,9
22105,2014-01-25,7,,78,8.7
22105,2014-01-26,6.5,,74,1.9
22105,2014-01-27,8.5,,47,6.8
22105,2014-01-28,5.7,,51,6.6
22105,2014-01-29,6,,59,8.5
22105,2014-01-30,6.8,,66,9.4
22105,2014-01-31,5.3,,47,6.4
22105,2014-02-01,5.2,,77,7.9
22105,2014-02-02,2.7,,83,8.3
22105,2014-02-03,8.7,,67,5.1
22105,2014-02-04,10.1,,66,-.5
22105,2014-02-05,5.5,,69,-1.2
22105,2014-02-06,3.6,1026.2,63,2.4
22105,2014-02-07,10.7,1023.3,79,3.4
22105,2014-02-08,8.5,1018.7,73,2.9
22105,2014-02-09,9.8,1020.2,81,1.6
22105,2014-02-10,9.2,1027.4,69,-.5
22105,2014-02-11,5.3,1028.9,58,-.2
22105,2014-02-12,5.2,1029.4,77,1.8
22105,2014-02-13,8.4,1031.7,68,2.5
22105,2014-02-14,7.5,1029.7,62,2.5
22105,2014-02-15,6.4,1026.4,65,4
22105,2014-02-16,2.9,1027.2,62,6.9
22105,2014-02-17,8.7,1029,68,4.2
22105,2014-02-18,7.9,1029.8,63,.8
22105,2014-02-19,3.5,1027.3,57,1.9
22105,2014-02-20,4.4,1025.9,78,3.7
22105,2014-02-21,4.1,1029.2,82,3.3
22105,2014-02-22,4.8,1031.2,81,4.3
22105,2014-02-23,3.7,1030.9,85,4.8
22105,2014-02-24,2.2,1027.6,67,7.2
22105,2014-02-25,3.7,1027.6,56,9.4
22105,2014-02-26,6,1025.7,73,9.8
22105,2014-02-27,2.6,,88,9.8
22105,2014-02-28,7.4,1023.6,69,7
22105,2014-03-01,6.8,1019,80,7.6
22105,2014-03-02,8.3,1020.2,73,4.8
22105,2014-03-03,5.4,1027.3,58,5.5
22105,2014-03-04,9.4,,60,9.3
22105,2014-03-05,8.8,1020,67,3.8
22105,2014-03-06,6.1,1024.5,47,2.4
22105,2014-03-07,7.6,1026.2,53,2.1
22105,2014-03-08,5.2,1022.9,46,4
22105,2014-03-09,9.1,1018.4,51,4.4
22105,2014-03-10,6.4,1024.8,51,3.8
22105,2014-03-11,6.2,1022.6,46,9.7
22105,2014-03-12,6,1018,64,10
22105,2014-03-13,11.1,1015,74,4.4
22105,2014-03-14,5.6,1018,57,4.5
22105,2014-03-15,6.4,1016.9,49,9.7
22105,2014-03-16,6.6,1020.4,67,10.4
22105,2014-03-17,7.2,1016.6,81,11.8
22105,2014-03-18,8.6,1014.4,74,10.3
22105,2014-03-19,4.5,1019.6,58,7.8
22105,2014-03-20,6.3,1012.1,78,6.4
22105,2014-03-21,6.2,1018.2,62,5.8
22105,2014-03-22,4.6,1021.7,54,9.6
22105,2014-03-23,3.6,1024.4,68,12.1
22105,2014-03-24,3.5,1019.6,68,12.7
22105,2014-03-25,5.1,1013.4,82,13.3
22105,2014-03-26,2.6,,94,12.7
22105,2014-03-27,5.4,1015.9,92,11.8
22105,2014-03-28,6.9,,85,13.4
22105,2014-03-29,5.3,1009.3,86,13.4
22105,2014-03-30,10.2,1010.1,83,8.6
22105,2014-03-31,4.1,1016.2,79,11
22105,2014-04-01,4.5,1016.2,91,11.9
22105,2014-04-02,4.7,1015.4,86,12.9
22105,2014-04-03,7.3,,89,8.8
22105,2014-04-04,8.9,1011.9,66,5.8
22105,2014-04-05,4.4,1013.4,63,6.9
22105,2014-04-06,6.7,1017,62,7.5
22105,2014-04-07,4.3,1012.9,65,13.8
22105,2014-04-08,5.1,1015.6,79,12.4
22105,2014-04-09,3.6,1014,77,13.8
22105,2014-04-10,5.9,1020.3,60,10.6
22105,2014-04-11,5.9,1020.8,72,11.3
22105,2014-04-12,6.6,,73,12.5
22105,2014-04-13,2.9,1018.9,77,12.8
22105,2014-04-14,5.6,,73,13
22105,2014-04-15,4.7,1014.5,75,15.6
22105,2014-04-16,3,1014.2,88,14
22105,2014-04-17,3.5,1014.3,87,13
22105,2014-04-18,5.6,1017.4,74,11.7
22105,2014-04-19,4.5,1023.5,60,11.7
22105,2014-04-20,6.8,1018.4,71,11.2
22105,2014-04-21,4.3,1013.8,72,14.3
22105,2014-04-22,3.7,,70,14.8
22105,2014-04-23,4.1,,72,15.6
22105,2014-04-24,6.1,1020.5,82,15.5
22105,2014-04-25,4.4,1022.5,81,16.2
22105,2014-04-26,8.3,1021.5,77,16.2
22105,2014-04-27,4.6,1020,86,15.7
22105,2014-04-28,5.7,1018.1,83,14.4
22105,2014-04-29,9.6,1010.5,92,14
22105,2014-04-30,7.2,1009.9,92,12.6
22105,2014-05-01,3.6,,88,14.4
22105,2014-05-02,5.3,1008.9,78,16.9
22105,2014-05-03,8.1,1014.9,57,15.2
22105,2014-05-04,7.8,1012.6,71,15.5
22105,2014-05-05,6.3,1013.4,45,13.1
22105,2014-05-06,7.7,1016.1,53,14
22105,2014-05-07,8.6,1012.8,72,15
22105,2014-05-08,7.4,1008.5,76,14.5
22105,2014-05-09,4.7,1018.1,68,14.3
22105,2014-05-10,3.7,1022.7,75,14.8
22105,2014-05-11,6.5,,85,14.8
22105,2014-05-12,7.7,1002.9,79,16.8
22105,2014-05-13,6.6,1003.9,65,18.5
22105,2014-05-14,5.7,1000,76,17.8
22105,2014-05-15,3.3,997.6,80,17.2
22105,2014-05-16,5.2,1006.2,58,18.6
22105,2014-05-17,4.9,1012.8,79,16.6
22105,2014-05-18,5,1013.7,84,17
22105,2014-05-19,4.2,,83,18.2
22105,2014-05-20,4.9,,82,18.4
22105,2014-05-21,5.1,,84,15.7
22105,2014-05-22,3.2,1013.3,79,15.6
22105,2014-05-23,5.1,1019.2,76,16.5
22105,2014-05-24,5.7,1013.7,82,19.5
22105,2014-05-25,5.9,1008.4,84,19
22105,2014-05-26,6.8,999.2,79,18.7
22105,2014-05-27,6.2,997.9,67,19.8
22105,2014-05-28,5.7,1000,78,19
22105,2014-05-29,4.4,1004.8,81,19.4
22105,2014-05-30,1.7,1008.5,76,21.4
22105,2014-05-31,2.9,1011.7,82,21.3
22105,2014-06-01,3,1009.9,80,21.3
22105,2014-06-02,2.1,1009.7,88,19
22105,2014-06-03,3.1,1009.3,92,18.3
22105,2014-06-04,4.5,1008.1,95,18.1
22105,2014-06-05,3.7,1006.4,91,18.7
22105,2014-06-06,4.5,1006.2,81,18.2
22105,2014-06-07,4.5,1007,82,17.7
22105,2014-06-08,4.4,,84,18.2
22105,2014-06-09,3.4,,86,18.4
22105,2014-06-10,3.3,1012.3,86,19.1
22105,2014-06-11,5.9,1008.2,90,17.7
22105,2014-06-12,6,1003.2,86,17.6
22105,2014-06-13,2.4,1004.3,78,19.6
22105,2014-06-14,4.3,1005.5,83,21.1
22105,2014-06-15,3.2,1004.3,77,22.7
22105,2014-06-16,2.5,1004.6,74,23.4
22105,2014-06-17,3.1,,86,21.2
22105,2014-06-18,2.9,1005.7,77,21.8
22105,2014-06-19,5,1005,87,21.6
22105,2014-06-20,4.7,1010.5,82,19.7
22105,2014-06-21,4.6,1010.7,81,20
22105,2014-06-22,3.4,1008.9,75,20.2
22105,2014-06-23,3.4,1007.1,77,20.4
22105,2014-06-24,2.6,1006.7,83,21.1
22105,2014-06-25,5.1,1008.4,87,21.4
22105,2014-06-26,5.8,1007.4,89,21.8
22105,2014-06-27,6.3,1004.9,85,22.1
22105,2014-06-28,3.5,1001.8,85,22.2
22105,2014-06-29,3.7,1005.4,85,21.6
22105,2014-06-30,2.9,1009,84,22.2
22105,2014-07-01,4.6,1010.6,87,22.7
22105,2014-07-02,4.7,1009.3,86,23
22105,2014-07-03,5.1,1003.2,88,22.4
22105,2014-07-04,4.8,1006.7,85,22.4
22105,2014-07-05,4,1011.7,79,21.9
22105,2014-07-06,1.6,1008.7,86,21.4
22105,2014-07-07,2.2,1007.5,88,22.1
22105,2014-07-08,5.3,1006.9,91,22.8
22105,2014-07-09,4.5,1003.2,91,23
22105,2014-07-10,3.6,994.8,92,23.3
22105,2014-07-11,3.5,997.9,73,25.3
22105,2014-07-12,4,1002.4,71,25.2
22105,2014-07-13,5.3,1001.2,76,24.1
22105,2014-07-14,3.8,1006.2,78,24.6
22105,2014-07-15,3.8,1009.6,88,22.9
22105,2014-07-16,3,1009,86,22.9
22105,2014-07-17,3.8,1010.1,88,22.4
22105,2014-07-18,3.1,1010.5,87,22.1
22105,2014-07-19,1.4,1011.3,87,24.2
22105,2014-07-20,1.9,1011.4,86,24.4
22105,2014-07-21,6.1,1007.2,89,23.9
22105,2014-07-22,3.1,1004.8,85,23.8
22105,2014-07-23,4.4,1003.6,89,22.6
22105,2014-07-24,2.9,1005.3,85,23.8
22105,2014-07-25,3.2,1007.4,92,23.6
22105,2014-07-26,7.6,1004.3,83,22.1
22105,2014-07-27,2.8,1011.3,85,21.3
22105,2014-07-28,3.1,1010.5,89,20.6
